Department,Department Code,Program Code,DRF Program,Description EN,Description FR
"Innovation, Science and Economic Development Canada",130,BNN02,Entrepreneurship Policy,"The Entrepreneurship Policy program addresses barriers and promotes the growth and competitiveness of entrepreneurs, including under-represented groups in business and entrepreneurship to build a more inclusive economy. The program provides support to Canadian entrepreneurs who would not typically be supported by traditional lending institutions, and other business support services as well as promotes co-operatives as an important business model that advances sustainable and inclusive growth. The program engages with diverse groups, including women, youth, and Indigenous People, and works to ensure that Canada?s economic development and innovation policies and programs reflect their needs. The program works to strengthen Canada?s social enterprise community, which includes federal and provincial partners, the academic community and Canadian social enterprise practitioners. This program supports the departmental result ?Canada?s entrepreneurs represent all segments of Canadian society? under the People, Skills and Communities core responsibility and includes the following transfer payments: Futurpreneur, Women Entrepreneurs.","Le programme de la politique d?entrepreneuriat vise … att‚nuer les obstacles et cherche … promouvoir la croissance et la comp‚titivit‚ des entrepreneurs, dont les groupes sous-repr‚sent‚s dans le monde des affaires ainsi que l?entrepreneuriat afin de bƒtir une ‚conomie plus inclusive. Le programme offre du soutien aux entrepreneurs canadiens qui n?en re‡oivent habituellement pas de la part des institutions de prˆt traditionnelles, et d?autres services de soutien aux entreprises, et fait la promotion des coop‚ratives en tant que modŠle d?affaires important qui met de l?avant une croissance durable et inclusive. Le programme s?engage auprŠs de diff‚rents groupes, notamment les femmes, les jeunes et les Autochtones, afin que les programmes et politiques de d‚veloppement ‚conomique et d?innovation du Canada rencontrent leurs besoins. Le programme vise … renforcer la communaut‚ des entreprises sociales du Canada, qui comprend les partenaires des gouvernements f‚d‚ral et provinciaux, le milieu universitaire et les intervenants des entreprises sociales. Ce programme vient appuyer le r‚sultat minist‚riel ® Les entrepreneurs du Canada repr‚sentent toutes les sphŠres de la soci‚t‚ canadienne ¯ qui s?inscrit sous la responsabilit‚ essentielle Personnes, comp‚tences et collectivit‚s, et comprend les paiements de transfert suivants : Futurpreneur, Soutien aux femmes entrepreneures."
"Innovation, Science and Economic Development Canada",130,BNN01,Talent Development,"The Talent Development Program seeks to build the knowledge and skills of Canadian youth to ensure they are equipped with the skills and tools needed to participate in an innovative economy. The Program includes complementary initiatives targeting young people, from early childhood to graduate school, to help promote youth engagement in science, technology, engineering and math (STEM) and support opportunities for coding and digital skills development. Initiatives within the Program support opportunities for recent post-secondary graduates to gain valuable work experience to fully participate in the digital economy. The initiatives in the Program also include the administration of awards to teachers, to honour and promote Canada?s most outstanding educators and share their innovative and proven teaching practices. This program supports the departmental result ?Canada has a highly skilled workforce that is equipped for jobs in an innovative and high-growth economy? under the People, Skills and Communities core responsibility and includes the following transfer payments: CanCode (formerly Coding for Kids), Youth Internships, Let?s Talk Science, and Mitacs.","Le programme de d‚veloppement des talents vise … favoriser l?acquisition de connaissances et de comp‚tences chez les jeunes Canadiens afin qu?ils possŠdent les comp‚tences et les outils n‚cessaires pour participer … une ‚conomie novatrice. Ce programme comprend des initiatives compl‚mentaires ciblant les jeunes, de la maternelle jusqu?aux ‚tudes sup‚rieures, afin de promouvoir leur engagement envers les sciences, la technologie, l?ing‚nierie et les math‚matiques (STIM), et d?appuyer les possibilit‚s de d‚velopper leurs comp‚tences en codage et autres comp‚tences num‚riques. Les initiatives de ce programme viennent appuyer les possibilit‚s pour les r‚cents dipl“m‚s postsecondaires d?acqu‚rir l?exp‚rience professionnelle pertinente pour participer pleinement … l?‚conomie num‚rique. Les initiatives du programme comprennent aussi l?administration des subventions octroy‚es aux professeurs afin d?honorer et de mettre en valeur les membres exceptionnels du secteur de l?‚ducation du Canada et de diffuser leurs pratiques d?enseignement innovantes qui ont fait leurs preuves. Ce programme vient appuyer le r‚sultat minist‚riel ® Le Canada possŠde une main-d??uvre hautement qualifi‚e qui peut occuper des emplois dans une ‚conomie novatrice en forte croissance ¯ qui s?inscrit sous la responsabilit‚ essentielle Personnes, comp‚tences et collectivit‚s, et comprend les paiements de transfert suivants : CodeCan (anciennement Codage pour les enfants), Stages pour les jeunes, Parlons sciences et les programmes de Mitacs."
"Innovation, Science and Economic Development Canada",130,BNO03,Innovation Superclusters Initiative,"The Innovation Superclusters Initiative program promotes the growth of Canadian innovation networks and clusters. Innovation superclusters are geographic regions that are hotbeds of innovation with strong collaborations between leading companies and academic and research institutions, which can lead to new solutions to complex problems and result in the creation of new technologies. The program supports industry-driven consortia charged with developing and executing a strategic plan to build an advantage for their cluster to reinforce Canada?s sectors of strength. The program supports technology projects by incentivizing research and development, increasing private sector and academic/public research institution collaboration, and driving commercialization of new technologies and products. The program seeks to enable the growth of innovative small firms and attached supply chain members, as well as attracting new investors and production mandates. The program contributes to the departmental results ?World-leading superclusters are grown in Canada?, ?Canadian businesses invest more in research and development (R&D)? and ?Canada has world leading-research capacity? under the Science, Technology, Research and Commercialization core responsibility and includes the following transfer payments: Innovation Superclusters Initiative.","Le programme de l?Initiative des supergrappes d?innovation fait la promotion de la croissance des r‚seaux et des grappes canadiennes d?innovation. Les supergrappes d?innovation sont des r‚gions g‚ographiques qui sont des foyers d?innovation avec des collaborations ‚troites entre des entreprises de premier plan et des ‚tablissements d?enseignement et de recherche, qui pourraient d‚boucher sur de nouvelles solutions … des problŠmes complexes et se traduire par la cr‚ation de nouvelles technologies. Le programme appuie les consortiums dirig‚s par l?industrie dont le mandat est d?‚laborer et de mettre en ?uvre un plan strat‚gique visant … cr‚er un avantage pour leur grappe afin de consolider les secteurs de force du Canada. Le programme appuie les projets de technologie en encourageant la collaboration entre le secteur priv‚ et les ‚tablissements de recherche universitaires et publics, et en favorisant la commercialisation de nouvelles technologies et de nouveaux produits. Le programme vise … faciliter la croissance de petites entreprises novatrices et des chaŒnes d?approvisionnement qui en d‚pendent, tout en attirant de nouveaux investisseurs et de nouveaux mandats de production. Le programme contribue … l?atteinte des r‚sultats minist‚riels ® Des supergrappes de calibre mondial sont cr‚‚es au Canadaÿ¯, ® Les entreprises canadiennes investissent davantage dans la recherche et le d‚veloppement ¯ et ® Le Canada possŠde une capacit‚ de recherche de calibre mondial ¯ qui s?inscrivent sous la responsabilit‚ essentielle Sciences, technologie, recherche et commercialisation, et comprend le paiement de transfert suivant : Initiative des supergrappes d?innovation."
"Innovation, Science and Economic Development Canada",130,BNP08,"Communication Technologies, Research and Innovation","The Communication Technologies, Research and Innovation program, through the Communications Research Centre (CRC), serves as the federal centre of research excellence for advanced telecommunications, focusing on spectrum and wireless R&D. The program provides technical advice to enable evidence-based decision-making and spectrum program management for ISED. This helps position the Government to meet the evolving needs of a modern digital economy. The program enables innovation by offering opportunities for industry/academia to license its intellectual property and technologies, and by making its R&D results publically available. In addition, the program partners with industry/academia on strategic R&D collaborations to develop leading-edge technology to address global challenges facing Canada. These partnerships present opportunities to Canadian businesses and academia to engage in next-gen research which can help them, and the Canadian market, grow and be globally competitive. Under this program, the CRC acts as custodian of the Shirleys Bay Campus, which houses the research facilities of the CRC as well as other government departments. This program supports the departmental results ?Canadian companies are globally competitive and achieve high growth? and ?Canada is a location and destination of choice for investment, growth and tourism? under the Companies, Investment and Growth core responsibility.","Le programme de recherche et d?innovation en matiŠre de technologies des communications, par l?entremise du Centre de recherches sur les communications (CRC), fait office de centre f‚d‚ral d?excellence en recherche pour les t‚l‚communications ‚volu‚es, mettant l?accent sur la recherche et le d‚veloppement en matiŠre de spectre et de sans-fil. Le programme offre des conseils techniques … ISDE pour permettre la prise de d‚cisions fond‚e sur des donn‚es probantes et la gestion du programme du spectre. Cela contribue … positionner le gouvernement pour qu?il r‚ponde aux besoins changeants d?une ‚conomie num‚rique moderne. Le programme permet l?innovation en offrant des occasions … l?industrie et aux universit‚s de prot‚ger leur propri‚t‚ intellectuelle et d?obtenir des licences pour leurs technologies, et en rendant ses r‚sultats de R-D accessibles au public. De plus, le programme s?associe … l?industrie et aux universit‚s pour certains projets de R-D strat‚giques afin de mettre au point une technologie de pointe pour faire face aux grands d‚fis auxquels est confront‚ le Canada. Ces partenariats offrent des occasions aux entreprises et aux universit‚s canadiennes d?entreprendre des recherches de prochaine g‚n‚ration qui pourraient les aider, ainsi que le march‚ canadien, … croŒtre et … ˆtre concurrentielles sur le plan mondial. Aux termes de ce programme, le CRC agit en qualit‚ de gardien du campus de la baie Shirleys qui h‚berge les installations de recherche du Centre ainsi que d?autres ministŠres. Ce programme vient appuyer les r‚sultats minist‚riels ® Les entreprises canadiennes sont comp‚titives … l?‚chelle mondiale et connaissent une forte croissance ¯ et ® Le Canada est une destination de choix pour l?investissement, la croissance et le tourisme ¯ qui s?inscrivent sous la responsabilit‚ essentielle Entreprises, investissement et croissance."
National Research Council of Canada,228,BNQ01,Aerospace,"The Aerospace program focuses on aerospace research and technology development in the core areas of aerodynamics, flight research, gas turbines, structures and materials, and manufacturing. We conduct Research and Technology Development (R&TD) across the full spectrum of issues related to the design, manufacture, qualification, performance, use and maintenance of air vehicles. This work covers all of the major concerns in aerospace?cost, weight, safety, human factors and environmental footprint. Our five research initiatives seek to address some of the critical challenges faced by the Canadian and global aerospace sectors. We support industry with the development and delivery of demonstrated technologies into both the civilian and military markets. The Aerospace program is home to over 325 scientists, engineers and technical experts in Ontario and Quebec and includes over $500M of research infrastructure. We are divided into four laboratories, each led by a Director of Research and Development.","Le Programme a‚rospatial met l?accent sur la recherche a‚rospatiale et sur le d‚veloppement technologique dans les domaines cl‚s que sont l?a‚rodynamique, la recherche en vol, les turbines … gaz, les structures et les mat‚riaux, et la fabrication. Nous menons des travaux de recherche et d‚veloppement technologique (R-DT) dans tout l?‚ventail d?enjeux li‚s … la conception, … la fabrication, … la qualification, … la performance, … l?utilisation et … l?entretien d?a‚ronefs. Ces travaux touchent … toutes les principales pr‚occupations en a‚rospatiale ? le co–t, le poids, la s‚curit‚, les facteurs humains et l?empreinte environnementale. Nos cinq initiatives de recherche visent … relever certains des grands d‚fis auxquels sont confront‚s les secteurs a‚rospatiaux canadiens et mondiaux. Nous soutenons l?industrie par la mise au point et le d‚ploiement de technologies d‚montr‚es dans les march‚s civils et militaires. Le Programme a‚rospatial compte plus de 325 scientifiques, ing‚nieurs et experts techniques en Ontario et au Qu‚bec, et il comprend une infrastructure de recherche ‚valu‚e … plus de 500 M$. Nous sommes s‚par‚s en quatre laboratoires, chacun dirig‚ par un directeur de la recherche-d‚veloppement."
National Research Council of Canada,228,BNQ02,Aquatic and Crop Resource Development,"In collaboration with industry, the Aquatic and Crop Resource Development program develops improved varieties of crops and develops technologies for maximizing crop value and converting biomass to enhance the prosperity and global market share of the Canadian agriculture, bio-product, and natural health product industry sectors. This includes development and validation of value-added goods ? from natural ingredients and health products through to chemicals and industrial oils and other products ? for leveraging Canada?s abundance of aquatic and crop resources. Results are achieved through multi-disciplinary collaborative research and development services in addition to specialized technical services for transferring or advancing technologies into deployed solutions and improved practices for the marketplace.","En collaboration avec l?industrie, le programme D‚veloppement des cultures et des ressources aquatiques am‚liore des vari‚t‚s de cultures et d‚veloppe des technologies pour maximiser la valeur des cultures et convertir la biomasse afin d?accroŒtre la prosp‚rit‚ et la part du march‚ mondial des secteurs industriels canadiens de l?agriculture, des produits biologiques et des produits naturels de sant‚. Cela englobe le d‚veloppement et la validation de biens … valeur ajout‚e ? des ingr‚dients et produits pour la sant‚ jusqu?aux produits chimiques, aux huiles industrielles et … d?autres produits ? afin de tirer profit des abondantes ressources aquatiques et cultures du Canada. On obtient des r‚sultats grƒce … des services de recherche-d‚veloppement collaboratifs et multidisciplinaires, en plus de services techniques sp‚cialis‚s pour transf‚rer ou faire progresser des technologies afin d?en faire des solutions d‚ploy‚es et des pratiques am‚lior‚es pour le march‚."
National Research Council of Canada,228,BNQ03,Automotive and Surface Transportation,"The Automotive and Surface Transportation program provides technical knowledge and advances product and process technologies for producing more fuel-efficient, affordable, and environmentally-responsible ground vehicles and for delivering engineering solutions to complex technology challenges facing ground transportation industries including heavy vehicle and rail. This is important for reducing transportation infrastructure and costs and for enhancing Canada's share of ground vehicle supply chains and for enhancing the prosperity of the ground vehicle industry sector in Canada as it is faced with growing environmental concerns, competitive pressures and stringent regulations. The Canadian economy relies on advanced manufacturing sectors such as the ground vehicle industries as major economic drivers, accounting for a significant portion of manufacturing trade, and therefore must remain competitive. Results are achieved through multi-disciplinary collaborative research and development in addition to specialized technical services, such as testing, prototyping and system integration, for transferring or advancing technologies into deployed solutions and improved practices for the marketplace.","Le programme Automobile et transport de surface fournit des connaissances techniques et fait progresser des technologies visant … cr‚er des v‚hicules terrestres plus ‚co‚nerg‚tiques, abordables et respectueux de l?environnement, et … fournir des solutions techniques … des d‚fis technologiques complexes auxquels sont confront‚es les industries du transport, y compris celles des v‚hicules lourds et du transport ferroviaire. Cela est important pour r‚duire l?infrastructure et les co–ts de transport, ainsi que pour accroŒtre la part du Canada des chaŒnes d?approvisionnement de v‚hicules terrestres et pour am‚liorer la prosp‚rit‚ du secteur de l?industrie des v‚hicules terrestres au Canada, qui est confront‚ … des pr‚occupations environnementales croissantes, … des pressions de la concurrence et … une r‚glementation plus stricte. L?‚conomie canadienne d‚pend de secteurs de fabrication de pointe, comme les industries des v‚hicules terrestres, comme moteurs ‚conomiques importants, qui constituent une partie consid‚rable du commerce de la fabrication et, par cons‚quent, qui doivent rester comp‚titifs. On obtient des r‚sultats grƒce … des travaux de recherche-d‚veloppement collaboratifs multidisciplinaires, en plus de services techniques sp‚cialis‚s, comme la mise … l?essai, le prototypage et l?int‚gration des systŠmes, pour transf‚rer ou faire progresser des technologies afin d?en faire des solutions d‚ploy‚es et des pratiques am‚lior‚es pour le march‚."
National Research Council of Canada,228,BNQ08,Industrial Research Assistance Program,"Industrial Research Assistance Program (IRAP) has been contributing to the creation of wealth for Canada through technological innovation. This has been accomplished by providing a wide range of technical and business advisory services, as well as funding, to innovative Canadian small and medium-sized enterprises (SMEs) to help build their innovation capacity and successfully take their ideas to market. IRAP helps SMEs identify business opportunities and understand innovation challenges, and provides linkages to the most appropriate business and Research and Development (R&D) expertise in Canada. Regarded worldwide as one of the best programs of its kind, IRAP is a cornerstone in Canada?s innovation system helping some 13,000 SME clients annually. Funding available through IRAP includes contributions to SMEs and to SME serving organizations (through regular funding and temporary funding programs), and contributions supporting employment of post-secondary graduates.","Le Programme d?aide … la recherche industrielle (PARI) contribue … la cr‚ation de richesses pour le Canada par l?innovation technologique. On accomplit cela par la prestation d?un vaste ‚ventail de services consultatifs techniques et commerciaux, ainsi que par du financement … de petites et moyennes entreprises (PME) canadiennes novatrices, afin de les aider … renforcer leurs capacit‚s d?innovation et … r‚ussir la mise en march‚ de leurs id‚es. Le PARI aide des PME … cerner des occasions d?affaires et … comprendre les d‚fis li‚s … l?innovation, et il leur offre des contacts avec l?expertise d?affaires et de recherche-d‚veloppement (R-D) la plus appropri‚e au Canada. Consid‚r‚ … travers le monde comme un des meilleurs programmes en son genre, le PARI est une pierre angulaire du systŠme d?innovation du Canada qui, chaque ann‚e, vient en aide … environ 13 000 PME clientes. Le financement offert dans le cadre du PARI comprend des contributions aux PME et aux organismes qui les servent (grƒce … des programmes de financement r‚guliers et temporaires), ainsi que des contributions appuyant l?emploi de d‚tenteurs de dipl“mes postsecondaires."
National Research Council of Canada,228,BNQ22,"Collaborative Science, Technology and Innovation Program","NRC?s Collaborative Science, Technology and Innovation Program integrates three components that encourage and catalyze research excellence resulting in scientific discoveries and technological breakthroughs. Collaborative R&D Initiatives are the primary vehicles for convening national teams of government, business and academic researchers to address Government priorities, tackle policy challenges and stimulate business innovation. This contribution funding enables multi-disciplinary teams to work collaboratively in a DARPA-like program model towards a focused outcome within an established timeline. These initiatives will be funded through combination of operational funding for internal NRC work and Grants and Contributions for the collaboration with others. NRC Ideation Fund uses grant or contribution funding to enable NRC researchers working individually, in small teams across NRC and with national or international researchers from other organizations to test ideas and advance technologies leading to new ideas for future large-scale collaborative R&D Initiatives. Projects under the Ideation Fund will be small scale exploratory projects in any science or engineering field that could eventually feed projects that are part of future Collaborative R&D Initiatives. Outreach Initiative grant funding will enable the NRC to increase its outreach, engagement, and support of research excellence in science, technology, engineering and mathematics fields, including diversity groups.","Le Programme de collaboration en science, en technologie et en innovation du CNRC intŠgre trois composantes qui stimulent l?excellence en recherche menant … des perc‚es scientifiques et technologiques. Les initiatives de collaboration en R-D sont le moyen privil‚gi‚ pour r‚unir des ‚quipes nationales de chercheurs gouvernementaux, universitaires et du monde des affaires afin d?aborder les priorit‚s gouvernementales, relever les d‚fis li‚s aux politiques et stimuler l?innovation en entreprise. Ce financement sous forme de contributions permet … des ‚quipes multidisciplinaires collaborer dans le cadre de programmes semblables … ceux de la DARPA afin d?obtenir un r‚sultat cibl‚ dans un d‚lai ‚tabli. Ces initiatives seront financ‚es par les cr‚dits pour les op‚rations internes du CNRC et par des subventions et contributions pour la collaboration avec des partenaires externes. Le Fonds d?id‚ation du CNRC utilise des subventions ou des contributions pour permettre aux chercheurs du CNRC travaillant individuellement, en petites ‚quipes … l?‚chelle du CNRC, ou avec des partenaires nationaux ou internationaux, de mettre … l?essai des id‚es et de faire progresser les technologies menant … de nouvelles id‚es pour de futures initiatives … grande ‚chelle de collaboration en R-D. Les projets r‚alis‚s dans le cadre du Fonds d?id‚ation seront des projets exploratoires de petite envergure dans le domaine des sciences ou du g‚nie, qui pourraient plus tard inspirer des projets pour des initiatives futures de collaboration en R-D. Les subventions accord‚es dans le cadre de l?Initiative de rayonnement permettront au CNRC d?accroŒtre son rayonnement et son engagement et de soutenir l?excellence en recherche dans les domaines des sciences, de la technologie, de l?ing‚nierie et des math‚matiques, y compris auprŠs des groupes vis‚s par la diversit‚."
National Research Council of Canada,228,BNQ04,Construction,"The Construction program provides technical knowledge and it advances product and process technologies to enhance the prosperity of the Canadian construction industry sector as it faces critical challenges in responding to expectations for better performing and more affordable buildings and infrastructure while striving to remain competitive in the global marketplace. The success of this sector is critical as a major contributor to Canada's Gross Domestic Product (GDP), employing millions of individuals, and managing assets valued in the trillions of dollars. Results are achieved through multi-disciplinary collaborative research and development and standardization services in addition to custom technical services - such as testing, product and process validation, prototyping, and system integration in field and in specialized facilities - for transferring or advancing technologies into deployed solutions and improved practices for the marketplace. This Program also includes Codes Canada (National Building Code, National Fire Code, National Plumbing Code and National Energy Code) and the Canadian Construction Material Centre.","Le programme de Construction fournit des connaissances techniques et fait progresser des technologies des produits et des processus afin de faire croŒtre la prosp‚rit‚ du secteur canadien de l?industrie de la construction qui est confront‚ … des d‚fis critiques alors qu?il doit r‚pondre aux attentes d?infrastructures et d?immeubles plus performants et abordables, tout en s?effor‡ant de rester comp‚titif dans le march‚ mondial. La r‚ussite de ce secteur est essentielle … titre de grand facteur du produit int‚rieur brut (PIB) du Canada, source d?emploi pour des millions de personnes, et g‚rant des actifs ‚valu‚s … des trillions de dollars. On obtient des r‚sultats grƒce … des travaux de recherche-d‚veloppement collaboratifs et multidisciplinaires et … des services de normalisation, en plus de services techniques personnalis‚s ? comme la mise … l?essai, la validation de produits et de processus, le prototypage et l?int‚gration de systŠmes sur le terrain et dans des installations sp‚cialis‚es ? pour transf‚rer ou faire progresser des technologies afin d?en faire des solutions d‚ploy‚es et des pratiques am‚lior‚es pour le march‚. Ce programme comprend aussi le Centre canadien des codes (Code national du bƒtiment, Code national de pr‚vention des incendies, Code national de la plomberie et Code national de l?‚nergie) et le Centre canadien de mat‚riaux de construction."
National Research Council of Canada,228,BNQ05,"Energy, Mining and Environment","The Energy, Mining and Environment program develops and advances technologies and techniques for enhancing the innovation capacity and growth of Canada?s natural resources and utility sectors. These sectors are important contributors to Canada's Gross Domestic Product (GDP) that are challenged by volatile global markets and growing environmental pressures. To remain sustainable, industries in these sectors require technologies to reduce production costs. Results are achieved through multi-disciplinary collaborative research and development in addition to specialized advisory and technical services for transferring or advancing technologies into industrial solutions for the marketplace.","Le programme nergie, mines et environnement d‚veloppe et fait progresser des technologies et des techniques permettant d?am‚liorer la capacit‚ d?innovation et la croissance des secteurs canadiens des ressources naturelles et des services publics. Ces secteurs font une contribution importante au produit int‚rieur brut (PIB) du Canada et ils doivent relever les d‚fis que pr‚sentent les march‚s mondiaux volatils et les pressions environnementales croissantes. Pour rester durables, les industries de ces secteurs ont besoin de technologies qui r‚duisent les co–ts de production. On obtient des r‚sultats grƒce … des travaux de recherche et d‚veloppement collaboratifs multidisciplinaires, en plus de services consultatifs et techniques sp‚cialis‚s pour transf‚rer ou faire progresser des technologies afin d?en faire des solutions industrielles d‚ploy‚es pour le march‚."
National Research Council of Canada,228,BNQ07,Human Health Therapeutics,"The Human Health Therapeutic program (HHT) serves primarily small and medium enterprises (SMEs) through development of biotherapeutics and vaccines to address unmet needs in human health. The program?s primary mode of interaction with its clients is through collaborative research agreements for product co-development. The program also develops competencies and intellectual property for novel products and technology platforms that SMEs can later license. HHT contributes to Canadian companies by increasing their capability to innovate, shortening time to regulatory submission, increasing their ability to received new investments, and by increasing their market valuation. The program achieves these impacts by directly improving company?s resource and capabilities through the improvement of their technology capabilities, technical expertise, knowledge and information, and technology development. The HHT program helps Canadian firms to advance their biologics and vaccine pipelines, and also supports the Canadian biomanufacturing sector by promoting the development of quality biomanufacturing capabilities in Canada. Additionally the program provides solutions to un met public health needs of Canadians to combat infectious diseases through development of vaccines.","Le programme Th‚rapeutique en sant‚ humaine (TSH) dessert principalement des petites et moyennes entreprises (PME) grƒce au d‚veloppement de produits bioth‚rapeutiques et de vaccins afin de r‚pondre … des besoins non satisfaits en matiŠre de sant‚ humaine. Le principal mode d?interaction du programme avec ses clients fait appel … des accords de recherche concert‚e visant le d‚veloppement conjoint de produits. De plus, le programme renforce les comp‚tences et d‚veloppe des propri‚t‚s intellectuelles concernant des plateformes technologies et des produits novateurs pour lesquels les PME peuvent ult‚rieurement attribuer des licences d?utilisation. Le programme TSH contribue … l?essor des entreprises canadiennes en augmentant leur capacit‚ … innover, en r‚duisant les d‚lais des soumissions r‚glementaires, en accroissant leur capacit‚ … recevoir de nouveaux investissements, et en rehaussant leur valeur sur le march‚. Le programme r‚alise ces impacts en am‚liorant directement les ressources et les capacit‚s des entreprises grƒce … l?am‚lioration de leurs capacit‚s technologiques, de leur expertise technique, de leurs connaissances et des renseignements qu?elles possŠdent, et du d‚veloppement technologique. Le programme TSH aide les entreprises canadiennes … faire progresser leurs projets de produits biologiques et de vaccins, et il appuie le secteur canadien de la biofabrication en faisant la promotion du d‚veloppement de capacit‚s de biofabrication de qualit‚ au Canada. Enfin, le programme fournit des solutions … des besoins non satisfaits li‚s … la sant‚ des Canadiens pour combattre des maladies infectieuses par la cr‚ation de vaccins."
National Research Council of Canada,228,BNQ09,Information and Communications Technologies,"In support of Canada's digital economy, the Information and Communications Technologies program applies leading-edge expertise in software development, semiconducting materials and photonic device design and fabrication to design, validate, demonstrate and deliver both physical and software solutions that lead to new market opportunities for industries in Canada's information and communication technology (ICT) sector that seek to profit from an explosive growth of data and from escalating needs for greater connectivity and for revolutionary ways to use computers to make decisions, synthesize information, and discover new knowledge. This is important for increasing Canada's global share of the growing ICT market. Results are achieved through multi-disciplinary collaborative research and development services in addition to specialized technical services in state-of-the-art facilities for transferring or advancing technologies into deployed solutions and improved practices for the marketplace. This includes custom manufacturing of novel components for innovative photonic, electronic, and optoelectronic devices.","Pour appuyer l?‚conomie num‚rique du Canada, le programme Technologies de l?information et des communications applique une expertise de pointe dans le d‚veloppement de logiciels, les mat‚riaux semi-conducteurs, et la conception et la fabrication d?appareils photoniques pour concevoir, valider, d‚montrer et livrer des solutions physiques et logicielles menant … de nouvelles occasions de march‚ pour des industries dans le secteur canadien des technologies de l?information et des communications (TIC) qui cherchent … tirer profit d?une croissance explosive des donn‚es et des besoins grandissants de connectivit‚ accrue et de maniŠres r‚volutionnaires d?utiliser des ordinateurs pour prendre des d‚cisions, synth‚tiser l?information et d‚couvrir de nouvelles connaissances. Cela est important pour accroŒtre la part mondiale du Canada du march‚ des TIC en pleine croissance. On obtient des r‚sultats grƒce … des travaux de recherche-d‚veloppement collaboratifs multidisciplinaires, en plus de services techniques sp‚cialis‚s dans des installations de pointe pour transf‚rer ou faire progresser des technologies afin d?en faire des solutions d‚ploy‚es et des pratiques am‚lior‚es pour le march‚. Cela comprend la fabrication personnalis‚e de nouveaux composants destin‚s … des appareils photoniques, ‚lectroniques et opto‚lectroniques novateurs."
National Research Council of Canada,228,BNQ12,Medical Devices,"The Medical Device program?s strategic goal is to catalyze Canada?s medical device industry, working with Canadian small and medium-sized enterprises (SMEs) and international companies with significant investment in Canada by providing research and technology solutions, as well as working with partner Federal government departments and agencies to address Government priorities. Economic factors are moving healthcare towards value-based delivery, which is creating numerous opportunities for the health technologies industry, particularly for cost-effective technological innovations. The program applies expertise in biochips, nanomaterials, microdevices, in vitro diagnostics, imaging, optical bio-photonics, medical simulation, and radio-frequency engineering and electronics to develop and advance technologies for enhancing the prosperity of the medical device industry as it strives to respond to increasing demands for equipment and supplies that are faster, more accurate, more informative, more affordable and less invasive. The industry is important for its growing contribution to Canada?s Gross Domestic Product (GDP) and its contribution to effective and efficient health care. Results are achieved through provision of industry-driven technical services and multi-disciplinary collaborative research.","Le but strat‚gique du programme Dispositifs m‚dicaux est d?agir comme catalyseur pour l?industrie canadienne des dispositifs m‚dicaux, de collaborer avec des petites et moyennes entreprises (PME) canadiennes et des entreprises internationales ayant fait des investissements importants au Canada, en fournissant des solutions li‚es … la recherche et … la technologie, ainsi que de collaborer avec des ministŠres et organismes f‚d‚raux partenaires pour r‚pondre aux priorit‚s gouvernementales. Des facteurs ‚conomiques poussent les soins de sant‚ vers une mise en ?uvre ax‚e sur la valeur, ce qui cr‚e de nombreuses occasions pour l?industrie des technologies de la sant‚, surtout pour des innovations technologiques rentables. Le programme applique son expertise dans les domaines des biopuces, des nanomat‚riaux, des microdispositifs, des diagnostics in vitro, de l?imagerie, de la biophotonique optique, de la simulation m‚dicale, et de l?ing‚nierie et des circuits ‚lectroniques … radiofr‚quences afin de d‚velopper et de faire progresser des technologies permettant d?am‚liorer la prosp‚rit‚ de l?industrie des dispositifs m‚dicaux, alors qu?elle s?efforce de r‚pondre aux demandes croissantes d?‚quipement et de fournitures plus rapides, plus exactes, plus informatives, plus abordables et moins invasives. L?industrie est importante pour sa contribution croissante au produit int‚rieur brut (PIB) du Canada et sa contribution … des soins de sant‚ efficaces et efficients. On obtient des r‚sultats par la prestation de services techniques ax‚s sur l?industrie et par la recherche en collaboration multidisciplinaire."
National Research Council of Canada,228,BNQ15,"Ocean, Coastal, and River Engineering","The Ocean, Coastal and River Engineering (OCRE) program develops solutions that address engineering challenges in rivers, lakes and marine environments to improve the performance and safety of marine operations and protect infrastructure, property and people from severe weather events and other environmental risks through expertise in harsh environments characterized by ice, wave, wind and cold temperatures. Working with collaborative, strategic research and development clients and partners, OCRE delivers innovative technologies and support to improve Canada?s competitiveness by reducing risks and costs of marine operations while assuring safe and responsible development of marine-based resources.","Le programme G‚nie oc‚anique, c“tier et fluvial (GOCF) cr‚e des solutions qui r‚pondent … des d‚fis techniques dans les riviŠres, les lacs et les environnements marins, afin d?am‚liorer le rendement et la s‚curit‚ des activit‚s maritimes et de prot‚ger l?infrastructure, la propri‚t‚ priv‚e et les gens contre les ph‚nomŠnes m‚t‚orologiques violents et autres risques environnementaux, grƒce … son expertise dans les environnements hostiles caract‚ris‚s par la glace, les vagues, le vent et le froid. En travaillant avec des partenaires et clients en recherche et d‚veloppement strat‚gique et de collaboration, le GOCF fournit des technologies novatrices et appuie l?am‚lioration de la comp‚titivit‚ du Canada en r‚duisant les risques et les co–ts des activit‚s maritimes, tout en assurant un d‚veloppement s–r et responsable des ressources marines."
