Department,Department Code,Transfer Payment Program,Start Date,End Date,Type,Type of Appropriation,Fiscal Year for terms and conditions,Description,Expected Results,Fiscal year of last completed evaluation,Decision Following the results of last evaluation,Fiscal year of planned completion of next evaluation,General target recipient groups,Initiative to engage applicants and recipients,
Natural Resources Canada,134,Clean Energy for Rural and Remote Communities,01/04/2018,31/03/2031,Contribution,Voted appropriation annually through Estimates,2018-19,"The program will reduce reliance on diesel in rural and remote communities by deploying and demonstrating renewable energy projects, encouraging energy efficiency and building skills and capacity.

Contribution payments made under this program are repayable.","Expected results for this program include:

Deployment project funding leveraged at an average of 2:3 ($81M : $121M), total from 2018-19 to 2023-24;
Demonstration project funding leveraged at an average of 3:2 ($55M : $37M), total from 2018-19 to 2023-24;
Bioheating project funding leveraged at an average of 4:1 ($46M : $11M) , total from 2018-19 to 2023-24;
10 communities newly installed or retrofitted bioheating systems (by 2019-20)
Maintain 2 co-operative arrangementsFootnote 4 on information products and expertise on energy efficiency with other federal departments (annually from 2018-19 to 2023-24);
Minimum of 10 energy literacy projects (by 2019-2020).",Not Applicable ? new program,Not Applicable,2022-2023,"Targeted recipient groups include remote communities, rural communities (Bioheating), indigenous communities, remote industrial sites, regional and community development corporations, utilities and, provinces and territories.","Review and approval of new applications will continue through 2019-20. The program will announce newly funded projects in 2019-20.

The program continues to engage real and potential applicants through the Remote Energy Inbox, calls with potential applicants when requested, and engagement sessions at conferences and through other platforms, such as the Pan-Canadian Framework. (2019-20)",
Natural Resources Canada,134,Clean Growth in the Natural Resource Sectors Innovation Program,01/04/2018,31//03/2028,Contribution,Voted appropriation annually through Estimates,2018-2018,"The Clean Growth Program will provide $155M over four years to support clean technology research and development (R&D), and demonstration projects in Canada?s energy, mining, and forest sectors. The program is designed to advance emerging clean technologies towards commercial readiness so that natural resource operations can better reduce their environmental impacts on air, land, and water, while enhancing competitiveness and creating jobs.

The program has conditionally repayable contributions for demonstration projects; R&D activities are non-repayable."," 
The projects funded by the program are expected to reduce the environmental impact of natural resource operations, support the growth of Canada?s clean technology sector, and assist in sustaining Canadian resource industries as a source of jobs and opportunity.

Economic performance: cost reduction, new revenue
Move emerging technologies closer to commercial readiness.
*Dependent on projects received, success of projects, and on-going operation capacity by 2026+",Not Applicable ? new program,Not Applicable,2019-2020,"Eligible Canadian Recipients include:

Legal entities validly incorporated or registered in Canada including: For profit and not-for-profit organizations such as electricity and gas utilities, companies, industry associations, research associations, and standards organizations; Indigenous organizations and groups; Community groups; and Canadian academic institutions; and,
Provincial, territorial, regional and municipal governments and their departments and agencies where applicable.","Through an extensive multisector engagement initiative, the program engaged key industry and provincial/territorial stakeholders during the development of the program. This informed the technology agnostic scope of the program. In order to facilitate the co-funding of projects with provincial and territorial partners, the program has developed Trusted Partnerships with key provincial and territorial stakeholders.

To increase awareness about proposal solicitations, program officials have

Presented at conferences, workshops and sector meetings;
Held two webinars after program launch (approx. 1000 participants);
Launched an interactive social media platform to encourage potential applicants to collaborate with other partners, provinces/territories, and federal research centres; and,
Led social media campaigns and hosted stakeholder engagement webinars and calls with involvement from the provinces and territories.
Additionally, in 2017 the program established the Clean Growth Collaboration Community, an online community intended to foster collaboration among stakeholders on the innovation spectrum and to help them find the support they need to be successful.

In 2018, requests for letters of interests (LOI) were solicited from a broad range of eligible recipients such as industry, academia and consortia via open, advertised calls. Of the 761 LOI submitted, 104 applicants were invited to submit full project proposals. Projects were selected through a rigorous review process.",
Natural Resources Canada,134,Science and Technology Internship Program,1997,Ongoing,Contribution,Voted appropriation annually through Estimates,2016-2017," Since 1997, NRCan has contributed to the Youth Employment Strategy through the Science and Technology Internship Program, which supports the integration of post-secondary graduates between the ages of 15-30 into science, technology, engineering and math fields in the natural resources sectors. Using a third party delivery model, NRCan provides funding for approximately 50 internships per year through contribution agreements to external funding organizations. These organizations take responsibility for delivering the internship funding to organizations that host the interns. This program supports the Minister?s commitment to assist in the development and promotion of Canadian scientific and technological capabilities, and to address labour shortages in science, technology, engineering and math fields. The program has been expanded for 2016-19 and includes funding for 1200 Green Jobs, internships with an environmental benefit. The program also promotes diversity in the natural resources labour market by targeting participation by individuals in the designated employment equity groups (women, Indigenous Peoples, visible minorities, persons with disabilities)","The main outcome will be skills acquired through career?related work experiences or further study at the post?secondary level. The ultimate outcome will be to provide Canada with more workers with advanced skills.
The STIP is part of the Career Focus stream of the Youth Employment Strategy.
Youth Employment Strategy ultimate outcomes:
a) increased ability of youth to participate in the labour market;
b) reduced barriers to employment of youth; and,
c) sustained youth employment.
Career Focus outcomes:
a) advanced skills acquired by youth through career-related work experience; and,
b) return of youth to advanced level studies.",2014-2015,"Summative Evaluation of the Horizontal Youth Employment Strategy (Employment and Social Development Canada)
No departmental evaluation has taken place.",2019-2020,"Initial and Ultimate recipients can be:
ú         legal entities validly incorporated or registered in Canada including for-profit organizations and not-for-profit organizations. Examples include academic institutions, industry associations, research associations, standards organizations; community groups, companies, electricity and gas utilities, or;
ú         indigenous organizations and groups; or
ú         provincial, territorial, regional and municipal governments and their departments and agencies where applicable.","Delivery Organization (Initial Recipients) 
ú         Call for proposals
Hiring Organizations (Ultimate Recipients)
Completed:
ú         Targeted emails to past Hiring Organizations
ú         Postcards in both official languages and Inuktitut (Iqaluit Dialect)
ú         Social Media campaign (infographic, news releases, etc.)
ú         Minister Announcement via news release
ú         Updated Website
ú         Promotional Trip to Nunavut
Planned:
ú         Promotional Videos
ú         Poster",
Natural Resources Canada,134,Clean Technology Challenges,04/10/2017,Ongoing,Grant and Contribution,Voted appropriation annually through Estimates,2017-2018,"The Clean Technology Challenges form part of the Government of Canada?s Impact Canada Initiative (ICI), designed to help departments accelerate the adoption of innovative funding approaches to deliver meaningful results to Canadians. The Clean Technology program ($75M over 4 years) stream will address areas such as climate change, clean growth, and the application of new technologies to reduce negative environmental impacts. All five cleantech challenges were launched in 2018-19. For each challenge, a mix of tools (e.g., contribution agreements, grants, micro-grants) will be used, based on technical, market and environmental circumstances, in order to achieve breakthroughs in clean technology, and leverage as much innovation activity as possible from a given award level.

Contribution payments made under this program are non-repayable","The ICI Cleantech program is focused on unlocking breakthrough solutions to complex and persistent problems in developing clean technology. In the long term, the program is intended to contribute to improved environmental and economic performance in Canada?s natural resource and clean technology sectors. Short- and medium-term results include:

Increased awareness, participation and collaboration in clean technology challenges and projects;
Increased investment by stakeholders in clean technology research, development and demonstration (RD&D) projects;
Increased engagement with/among Canadians
Emerging technologies are closer to commercial readiness; and, new disruptive technologies, alternative business/funding models that can generate better outcomes, and/or capacity building activities to facilitate the adoption of clean technology solutions.",Not Applicable ? new program,Not Applicable,2020-2021," 
Funding is open to Canadian and international identified eligible recipients provided they meet the criteria established by each challenge or challenge stage.

Eligible recipients will include, but are not limited to:

Legal entities validly incorporated or registered in Canada or abroad such as:
Private sector and not-for-profit organizations such as electricity and gas utilities, companies, industry associations, research associations, and standards organizations;
Indigenous organizations and groups;
Community groups;
Academic institutions;
Provincial, territorial, regional and municipal governments and their departments and agencies, where applicable;
Unincorporated groups, societies and coalitions; and,
Individuals.","Delivery of each ICI Challenge varies from challenge to challenge. The development and scoping of challenges involved extensive consultations with experts, partners and stakeholders, such as sector associations, industry, academia, and Indigenous governments and representative organizations and provinces/territories and other levels of government.

The program engages in a range of activities to help promote the challenges, encourage participation and provide guidance to potential challenge participants including: sharing challenge information on Natural Resources Canada website and the Impact Canada Initiative Prize and Challenge interactive website, using social media campaigns, targeted outreach, hosting webinars and delivering workshops",
Natural Resources Canada,134,Transportation and Alternative Fuels,21/04/2016,31/03/2019,Contribution,Estimates,2016-17,"This investment will support the installation of commercially available fast-charging electric vehicle infrastructure and other alternative fuel infrastructure along highly travelled routes to address consumer and commercial fleets? concerns regarding the low availability of recharging infrastructure, as well as investor concerns regarding the financial risk to investment. This will help accelerate market deployment of electric and alternative fuel vehicles and fuels.

The intent is for the recipients to generate profits, resulting in a self-sustaining industry; therefore this initiative will use repayable contributions to decrease the risk of investing in electric vehicle and alternative fuel infrastructure and reduce upfront investments for investors that install electric vehicle and alternative fuel infrastructure. The projects will be monitored over 10 years, following project completion.","The immediate demand-side outcome, stemming from completed installations, is an increase in the capacity of targeted end-users to use lower carbon transportation options as a result of increased availability of alternative fuel recharging stations. This can be measured based on the number of electric vehicle and alternative fuel stations on key coast-to-coast transportation corridors, by fuel type.

The intermediate demand-side outcome would be that targeted end-users take action to use lower carbon transportation options. This can be measured based on share of electric and alternative fuel vehicle sales.

The intermediate supply-side outcome is that targeted audiences take action to make lower carbon transportation options available to end-users. The indicator will be the number of recharging and refueling stations that are planned, under development and completed by funded project proponents (potential owners/operators of recharging/refueling stations), along key coast-to-coast transportation corridors, by fuel type. A second indicator, the ratio of funding leveraged from potential owners/operators of recharging/refueling stations, will also be tracked.

The ultimate outcome is that lower carbon fuels are used in Canadian transportation. This can be measured based on the number of instances of recharging or refueling at funded electric vehicle and alternative fuel stations as well as the amount of electricity, natural gas and hydrogen dispensed through the supported recharging/refueling infrastructure stations.","Not applicable, new program",Not applicable,Not applicable,"Individuals and legal entities validly incorporated or registered in Canada including: electricity or gas utilities, companies, industry associations, research associations, standards organizations, Indigenous and community groups, Canadian academic institutions, and provincial, territorial, regional or municipal governments or their departments or agencies, where applicable.

International legal entities validly incorporated or registered abroad including: companies, industry associations, research associations, standards organizations, and academic institutions.","NRCan launched a Request for Information in early spring following with a Request for Proposal soon after. Eligible recipients were invited to submit proposals. Once contribution agreements are signed, there will be public announcements on the successful projects.",
Natural Resources Canada,134,Forest Innovation Program,28/09/2017,31/03/2020,Contribution,Voted appropriation annually through Estimates,2017-2018,"The Forest Innovation Program (FIP) supports the forest sector?s innovation agenda and priorities needed to continue the transformation of Canada?s forest sector to ensure its competitiveness.

This transfer payment program provides non-repayable contributions","The FIP will directly contribute to the following results:

Forest-based research and development and deployment programs address key opportunities and threats facing Canada?s forest sector;
Improved knowledge of the physical and environmental attributes of forest products;
Industry stakeholders are aware of and engaged in forest-based research; and
Collaboration among organizations working on forest-related research is optimized.",2014-2015,Continuation,2019-2020,"The primary recipient of contributions is FPInnovations, a not-for-profit national forest research institute, and academia.","There is no open call for proposals through FIP. Officials meet with the principal named recipient, FPInnovations, on a regular basis. Any other potential funding recipients are engaged directly by program officials. The Canadian Wood Fibre Centre, which is a component of FIP, receives $1M in Contribution funds from FIP, which it distributes through a competitive process.",
Natural Resources Canada,134,Investments in the Forest Industry Transformation,17/06/2010,31/03/2022,Contribution,Voted appropriation annually through Estimates,2017-2018,"The Investments in Forest Industry Transformation (IFIT) Program was renewed in 2017-2018 with an additional $55 M of funding to support transformations that will make the forest industry more economically viable and environmentally sustainable. The objective will be achieved by investing in innovative technologies that lead to a more diverse, higher-value product mix including bioenergy and renewable power, as well as biomaterials, biochemical and next generation building products.

The Program will fund innovative projects that are using transformative technologies at the pilot and commercial scales that direct wood fibre and by-products from wood processing into higher value usages which:

Increase the total revenues available from a log;
Diversify product lines for the forest industry, stabilizing economic performance; and,
Produce renewable energy and other products that are beneficial to the environment.
By providing funding to Canadian forest firms for capital investments in bioenergy and bio-product industrial processes to advance these technologies towards full, commercial-scale implementation, this Program will broaden and build upon previous investments in forest sector transformation.

This transfer payment program does not have any repayable contributions","Expected outcomes of the program include the following:

Canada?s forest sector is more commercially and environmentally sustainable with improved return on capital and environmental impacts;
New forest bio-products, including next generation building products, and processes are commercially available through an increased number of new bio-products and next generation building products and processes produced;
Canada?s forest sector has increased capacity to develop and supply commercial bio-products, including next generation building products, and processes through an increased number of new or modified facilities producing bio-products and next generation building products; and,
Forest sector companies collaborate on projects and processes related to bio-products with other sectors (e.g. energy and chemical) through an increased number of non-traditional partnerships.",2014-2015,Continuation,2019-2020,"Companies that:

Produce forest products; and,
Have or will have existing forest product manufacturing facilities (for example, pulp, paper or panel mills) located in Canada.","Program applicants are supported through the establishment of a dedicated program website, which includes access to program guides, eligibility requirements, and project announcements, as well as program administration contact details (NRCan.ifit-ifit.RNCan@canada.ca). Calls for proposals were widely advertised through public press releases, e-mail distribution lists, and liaisons with a wide range of associations, government departments, and other stakeholders. Selected program recipients are further engaged through regular communication with program administrators to monitor progress on the achievement of program objectives. (Lead Sector to update as required)
",
Natural Resources Canada,134,Energy Innovation Program,14/04/2016,Ongoing,Contribution,Voted appropriation annually through Estimates,2017-2018,"The objective is to support the competitiveness of Canada?s natural resource sectors through a comprehensive suite of research, development, demonstration, and RSA (Related Scientific Activities) projects leading to advances in technology, increased knowledge and collaboration, input into codes, standards and associated policies and regulations, and ultimately improved environmental and economic performance.

The program has conditionally repayable contributions for demonstration projects; R&D and RSA are non-repayable.","Activities are expected to contribute to new research, development, demonstration projects and associated codes and standards, and new knowledge products, including studies and analyses.

Performance measures include:

# of technology readiness levels advanced;
# of intellectual properties generated;
# of knowledge products generated;
# of partners and collaborators;
# codes, standards, regulations, and policies impacted;
GHG emissions reduced;
# jobs (person-years of employment generated);
Ratio of NRCan funding versus leveraged funding;
Project specific environmental and economic performance measures.",Not Applicable ? new program,Not Applicable,2019-2020,"Eligible Canadian Recipients include:

Legal entities validly incorporated or registered in Canada including: For profit and not for profit organizations such as electricity and gas utilities, companies, industry associations, research associations, and standards organizations; Indigenous organizations and groups; Community groups; and Canadian academic institutions.
Provincial, territorial, regional and municipal governments and their departments and agencies where applicable.
Eligible International Recipients (for Mission Innovation activities only) will include treaty organizations and other international legal entities validly incorporated or registered abroad including: For-profit and not-for-profit organizations such as industry associations, agencies, research associations, standards organizations; and academic institutions.","The program conducted extensive engagement with industry, associations, Provinces and Territories, and research and policy groups to help inform the scope of calls for proposals. Requests for project proposals were solicited from a broad range of eligible recipients including industry, academia and consortia via open, advertised proposal calls; non-advertised direct requests for proposals; and unsolicited proposals.",
Natural Resources Canada,134,Smart Grid Program,01/04/2018,31/03/2029,Contribution,Voted appropriation annually through Estimates,2018-2019,"The Smart Grid program will invest $100 M over four years (2018-19 to 2021-22) to support the deployment of existing smart grid integrated systems (which may include energy storage) and demonstration of promising near-commercial smart grid technologies to reduce greenhouse gas emissions and foster innovation and clean jobs.

The program will accelerate the transition to a clean growth economy by:

Better utilizing the existing capacity of electricity assets;
Increasing the penetration of renewable generation; and,
Increasing the reliability, resiliency, and flexibility of the power system while maintaining cyber security.
This transfer payment program is repayable as follows:

Demonstration: Repayable, if the demonstration leads to a profit within five years following the end of the project. The requirements for reporting profits will be detailed in the contribution agreement, along with the process for repayment.

Deployment: Repayable, if the deployment leads to a profit within five (5) years following the project commissioning. The requirements for reporting profits will be detailed in the contribution agreement, along with the process for repayment.","Expected results for the 2019-20 to 2021-22 period are:

Ratio of project investments made by stakeholders to deployment project funding from the program leveraged at a minimum of 1:3.
Ratio of project investments made by stakeholders to demonstration project funding from the program leveraged at a minimum of 1:1.
Longer-term expected result by 2030:

GHG emission reductions of 0.9 mega tonnes (Mt) from the electricity grid",Not Applicable ? new program,Not Applicable,2021-2022," 
Legal entities validly incorporated in Canada including:

For-profit and not-for-profit organizations such as electricity and gas utilities, system operators and transmission owners and operators (including Provincial Crown Corporations, agencies, co-ops and municipally-owned) and, local distribution companies;
Provincial, territorial, regional and municipal governments, and their departments and agencies; and,
Indigenous (majority owned and controlled by Indigenous people), for-profit and not-for-profit organizations.","The program conducted extensive stakeholder engagement with utilities/local distribution companies, associations, and provinces and territories, including dissemination of a Project Concept Questionnaire (PCQ) that was returned by 100 potential applicants in order to increase awareness of the program, help gauge project eligibility and provide feedback to potential proponents. The program launched on January 15, 2018, and the Request For Proposal process closed on March 4, 2018, receiving eighty-six proposals, 74 of which were deemed eligible.
",
Natural Resources Canada,134,Buildings Infrastructure Program,,,,,,,,,,,,,
Natural Resources Canada,134,Energy Innovation Program - Oil and Gas Clean Technology Program,,,,,,,,,,,,,
Natural Resources Canada,134,Oil Spill Response Science Program,,31/03/2026,Contribution,Voted appropriation annually through Estimates,,"To support research, development and demonstration on new and improved technologies and processes to more effectively recover heavy oil products spilled in marine environments.",,Not applicable,Not applicable,,"Industry-related organizations, non-profit organizations, provinces and territories, First Nations, and academia.",,
Natural Resources Canada,134,"Program for Energy, Research & Development",,,,,,,,,,,,,
Natural Resources Canada,134,Emerging Renewable Power Program,01/04/2018,31/03/2030,Contribution,Voted appropriation annually through Estimates,2018-2019,"This program will support the deployment of renewable electricity technologies which have been established successfully abroad or have been demonstrated successfully in Canada but have not yet been deployed commercially. This program will help mitigate the risk of upfront capital investments in emerging renewable power projects.

The Emerging Renewable Power Program funding is conditionally repayable should the project yield a return on investment above and beyond the total project costs less the federal contribution."," 
Expected results for the 2018-2019 to 2020-2021 period are:

Three contribution agreements are signed and two regional assessments are completed and released publicly;
Projects using at least three different technologies (one technology per project) are supported by the program; and,
Two provincially-led support mechanisms (e.g. regulatory frameworks, power purchase agreements)",Not Applicable ? new program,Not Applicable,2021-2022,"Eligible recipients include:

Legal entities validly incorporated or registered in Canada, including for profit and not-for-profit organizations, system operators and transmission owners and operators, local distribution companies, industry associations, research associations, regional, and community development corporations.
Provincial, territorial, regional and municipal governments, and their departments and agencies, where applicable. Indigenous communities, councils or governments and Indigenous for-profit and not-for-profit organizations.","Departmental officials have contacted industry organizations, spoken to individual developers upon request, and have attended industry events. In addition, the Department has contacted provincial government representatives, both at the working and management level to solicit general feedback or verify project acceptance and priority alignment.",
Natural Resources Canada,134,ecoENERGY for Renewable Power,01/04/2007,31/03/2021,Contribution,Voted appropriation annually through Estimates,2008-2009,"The ecoENERGY for Renewable Power program is investing $1.4B over 14 years to increase Canada's supply of clean electricity from renewable sources such as wind, biomass, low-impact hydro, and solar photovoltaic energy. It is intended to help position low-impact renewable energy technologies to make an increased contribution to Canada?s energy supply and thereby contribute to a more sustainable and diversified energy mix. Although no new contribution agreements have been signed after March 31, 2011, projects with contribution agreements receive one cent per kilowatt-hour (kWh) incentive for eligible production during their first ten years of operation. The program itself will end on March 31, 2021.Footnote 1 This transfer payment program has repayable contributions.",The 74 projects still receiving the incentive under the program are expected to produce 7.4 terawatt hours of electricity from clean renewable resources in 2019-20.,2015-2016,The evaluation stated that the program has been managed effectively and efficiently.,2019-2020,"A business, institution or organization (i.e., an independent power producer, provincial Crown corporation, electrical utility or energy cooperative) that meets the terms and conditions of the program.","Applications are no longer accepted for the ecoENERGY for Renewable Power Program, as the commitment period ended on March 31, 2011. The Department continues to engage with recipients to ensure compliance with the requirements of the contribution agreements.",
Natural Resources Canada,134,Green Construction Through Wood Program,01/04/2018,31/03/2025,Contribution,Voted appropriation annually through Estimates,2018-2019,"NRCan?s Green Construction through Wood (GCWood) Program is aimed at supporting the use of wood in non-traditional construction projects, such as tall buildings, low-rise non-residential buildings and bridges. The GCWood Program launch follows the Government?s Budget 2017 announcement of $39.8M over four years, starting in April 2018, to undertake this initiative.

The GCWood Program supports Canada?s transition to a more wood-inclusive construction industry by funding projects that encourage:

Greater adoption and commercialization of wood-based products in the construction of innovative tall wood buildings, timber bridges, and low-rise non-residential wood buildings;
Replication of demonstrated innovative non-traditional wood-based buildings and timber bridges; and,
Research that addresses the gap in technical information needed to facilitate revisions to the 2020 and 2025 National Building Code of Canada (NBCC) to allow tall wood buildings beyond the current 6 storey limit.
The Program provides non-repayable contributions of up to 100% of a project?s eligible incremental costs for the demonstration of innovative engineered wood products and systems. The funding is intended to offset the cost of being the ?first mover? of wood-intensive projects, and to support the development of knowledge and tools to support the success of future projects.

","The GCWood Program will directly contribute to the following results:

Regulatory agencies and specifiers (engineers, designers and architects) have the information they need to determine product, performance and environmental credentials;
Architects, engineers, and builders have the information and tools necessary to pursue wood-based building projects;
Regulatory acceptance/recognition of Canadian wood products and building systems in building codes, standards, and policies.
*****There are expected results that extend to 2025 and 2030, but those noted above are the core expected results that can be achieved by end of 2020*****",Not Applicable ? new program,Not Applicable,2022-2023,"Eligible recipients of the GCWood Program, and the primary targets for demonstration activities include:

For-profit and not-for-profit companies registered in Canada;
Provincial, territorial, regional and municipal governments and their departments and agencies.
Eligible recipients and the target audience for education and code-related initiatives are:

Forest product associations (engaged in forest product promotion)
Provinces, provincial Crown corporations; and,
Not-for-profit organizations engaged in forest product research.","GCWood issues a public Call for Expressions of Interest for each aspect of the demonstration component (tall wood, low-rise non-residential, and bridges) which is promoted through the NRCan website and social media, as well as through partner organizations across the country.",
Natural Sciences and Engineering Research Council,230,College and Community Innovation,2007,Ongoing,Grant,Voted appropriation annually through Estimates,2018-2019,"The College and Community Innovation (CCI) Program is managed by NSERC in collaboration with the Canadian Institutes of Health Research (CIHR) and Social Sciences and Humanities Research Council of Canada (SSHRC). The CCI Program increases innovation at the community and/or regional level by enabling Canadian colleges to increase their capacity to work with local companies, particularly small and medium sized enterprises (SMEs), in areas of the natural and social sciences, engineering, humanities and/or health.. It supports applied research and collaborations that facilitate commercialization, as well as technology transfer, adaptation and adoption of new technologies, in areas of strategic importance to Canada.

There is no repayable contribution under this TPP.","Increased awareness by local businesses of the capacity of the postsecondary institutions to assist with applied research projects.
Increased involvement of faculty in applied research.
Increased applied research capacity at colleges.
College students acquiring applied research knowledge and experience, and exposure to business work environments.
New technologies and processes adopted by local businesses and other organizations.
Increased applied research collaborations between colleges, universities, local businesses and other organizations.
Increased R&D investment by local businesses and other organizations.
Increased productivity and competitiveness of local businesses and other organizations.
Enhanced reputation of colleges as applied research partners for local businesses and other organizations.",2018-2019,Continuation,2023-2024,"Persons, non-profit organizations","A variety of engagement initiatives (webinars, site visits, telephone, email, online forums) are used as part of the regular competition cycle in order to give applicants and recipients opportunities to seek and receive information and to provide feedback on service delivery.",
Natural Sciences and Engineering Research Council,230,Business-Led Networks of Centres of Excellence,2007,2023-2024,Grant,Voted appropriation annually through Estimates,2012-2013,"The Business-led Networks of Centres of Excellence program (BL-NCE) funds large-scale collaborative research networks that bring a wide range of research expertise to bear on specific challenges identified by an industrial sector. This tri-agency program is administered by NSERC on behalf of SSHRC, CIHR and NSERC.

There is no repayable contribution under this TPP","The research knowledge and technology produced by the networks and centres are transferred and used.
",2015-2016,Continuation,Not applicable,Non-profit organizations,"A variety of engagement initiatives (webinars, site visits, telephone, email, online forums) are used as part of the regular competition cycle in order to give applicants and recipients opportunities to seek and receive information and to provide feedback on service delivery.",
Natural Sciences and Engineering Research Council,230,Centres of Excellence for Commercialization and Research,2007,2022-2023,Grant,Voted appropriation annually through Estimates,2012-2013,"The Centres of Excellence for Commercialization and Research (CECR) program bridges the challenging gap between innovation and commercialization. The program matches clusters of research expertise with the business community to share the knowledge and resources that bring innovations to market faster. Centres advance research and facilitate commercialization within four priority areas: the environment; natural resources and energy; health and life sciences; and information and communications technologies. This program is administered by NSERC on behalf of CIHR, SSHRC and NSERC.

There is no repayable contribution under this TPP.",Pre-competitive development of promising technology and the promotion of its transfer to new or established Canadian companies are facilitated.,2017-2018,Continuation,Not applicable,Non-profit organizations,"A variety of engagement initiatives (webinars, site visits, telephone, email, online forums) are used as part of the regular competition cycle in order to give applicants and recipients opportunities to seek and receive information and to provide feedback on service delivery.",
Natural Sciences and Engineering Research Council,230,Grants and Scholarships,1978,Ongoing,Grant,Voted appropriation annually through Estimates,2018-2019," NSERC's class grant Grants and Scholarships program supports university-based basic and project research, college-based project research, provides scholarships and fellowships to young researchers, and facilitates links between universities, colleges, the private sector and governments.

There is no repayable contribution under this TPP","Canada has a supply of highly qualified Canadians with leading-edge scientific and research skills to fill positions in Canadian industry, government, postsecondary institutions, and other research organizations.
Canada makes significant high quality contributions to the creation of knowledge.
Canada's research capacity in science and engineering is maintained at world-class levels.
Research and training in targeted and emerging areas of national importance is accelerated.
The transfer of knowledge and technology residing in Canadian postsecondary institutions to the user sector is facilitated.
Mutually beneficial collaborations between the private sector and researchers in postsecondary institutions are created and result in industrial and economic benefits to Canada.
The Canadian public has a better understanding of the importance of science and engineering and of Canadian achievements and supports public investments in S&T.",2018-2019,Continuation,2019-2020,"Persons (students, researchers), industry-related, non-profit organizations","A variety of engagement initiatives (webinars, site visits, telephone, email, online forums) are used as part of the regular competition cycle in order to give applicants and recipients opportunities to seek and receive information and to provide feedback on service delivery.",
Western Economic Diversification Canada,140,Regional Growth Through Innovation,18/10/2018,"REGI - Ongoing
WEF - March 31, 2020
WES Ecosystem Fund - March 31, 2023","REGI - Grant and Contribution
WES - Contribution",Voted appropriation annually through Estimates,2018-2019,"The Regional Economic Growth Through Innovation (REGI) Initiative builds on the objectives of the Innovation and Skills Plan. The goal of REGI is to provide streamlined, nationally coordinated, regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs), women and Indigenous entrepreneurs, and other underrepresented groups. REGI will assist in the enhancement of regional industrial and technology clusters and regional innovation ecosystems.

The program will provide assistance through two new program streams:

Business Scale-up and Productivity Stream (BSP): Invest in and support businesses at various stages of development, including high-growth firms to accelerate their growth and assist them in scaling up, enhance their productivity and competitiveness in both domestic and global markets.
Regional Innovation Ecosystems Stream (RIE): Create, grow and nurture inclusive regional ecosystems that support business needs and foster an entrepreneurial environment conducive to innovation, growth and competitiveness.
The Women Entrepreneurship Strategy (WES) provides nationally coordinated, regionally tailored investments to help women entrepreneurs and support regional innovation ecosystems through two program streams:

WES Ecosystem Fund: A five-year program to help non-profit, third party organizations deliver support for women entrepreneurs and address gaps in the ecosystem.
Pilot Contribution Program (Women Entrepreneurship Fund): A two-year program that invests directly in women-owned or women-led businesses to help them grow and reach new markets.
Contributions issued under REGI may be unconditionally or conditionally repayable, or non-repayable. Contributions issued under the WES are non-repayable only.","Businesses are innovative and growing in western Canada.
Businesses invest in the development and commercialization of innovative technologies in western Canada.",Not Applicable ? new program,Not Applicable,To be determined,"Incorporated for-profit companies, not-for-profit organizations, industry associations, post-secondary institutions, Indigenous organizations, business accelerators, incubators, women-led businesses, angel networks, social enterprises, a group of eligible recipients such as an industry association or consortium, a municipality and all other municipal-type organizations, and a federal or provincial crown corporation/organization or any other entity created by the provincial government or a provincial department.","Western Economic Diversification Canada (WD) collaborates with its partners and engages key stakeholders in discussions regarding economic development and business growth to ensure that the department's investments respond to the needs of SMEs. Key partners and stakeholders may include other levels of government, community leaders, financial institutions and private-sector organizations. Information on the REGI initiative and WES is shared with applicants and recipients through targeted outreach with stakeholders, media strategies and on WD's website.",
Western Economic Diversification Canada,140,Community Futures Program,"May 18, 1995 (The Program started in 1986 and was previously delivered by Human Resources Development Canada).",Ongoing,Contribution,Voted appropriation annually through Estimates,2010-2011,"The CF Program was designed to help communities develop and implement local solutions to local problems. The program provides financial support to CF organizations, which are incorporated, not-for-profit organizations. CFs provide support to small and medium-sized enterprises and undertake community economic development initiatives.","The following lists the expected results for the CF Program:
Communities are economically diversified in western Canada.
Western Canada businesses have access to advisory services and capital.",2014-2015,Continuation,2018-2019,CF Organizations and CF Associations,"Eligible applicants for the CF Program are the CF Organizations. WD has a long standing strategy of engaging with these organizations to build awareness of WD's programs among prospective proponents.
",
